language,n,d,entropy,complexity
Amharic,3,4,0.875,0.268
Amharic,3,5,0.385,0.376
Arabic,3,4,0.921,0.18
Arabic,3,5,0.569,0.518
Atikamekw,3,4,0.358,0.337
Atikamekw,3,5,0.588,0.532
Bamana (Bambara),3,4,0.667,0.483
Bamana (Bambara),3,5,0.566,0.51
Basque,3,4,0.681,0.484
Basque,3,5,0.749,0.531
Belarus,3,4,0.846,0.352
Belarus,3,5,0.6,0.532
Bengali,3,4,0.592,0.399
Bengali,3,5,0.508,0.428
Bulgarian,3,4,0.791,0.318
Bulgarian,3,5,0.809,0.417
Chechen,3,4,0.539,0.42
Chechen,3,5,0.456,0.41
Chinese,3,4,0.615,0.409
Chinese,3,5,0.786,0.468
Coptic,3,4,0.766,0.409
Coptic,3,5,0.6,0.534
Czech,3,4,0.786,0.346
Czech,3,5,0.747,0.424
Dholuo,3,4,0.852,0.311
Dholuo,3,5,0.857,0.363
Dutch,3,4,0.59,0.438
Dutch,3,5,0.54,0.459
English,3,4,0.719,0.421
English,3,5,0.764,0.452
Esperanto,3,4,0.805,0.198
Esperanto,3,5,0.744,0.35
Estonian,3,4,0.793,0.388
Estonian,3,5,0.76,0.484
French,3,4,0.915,0.178
French,3,5,0.815,0.43
Finnish,3,4,0.923,0.211
Finnish,3,5,0.802,0.515
German,3,4,0.778,0.394
German,3,5,0.762,0.464
Hindi,3,4,0.668,0.458
Hindi,3,5,0.603,0.538
Hungarian,3,4,0.478,0.385
Hungarian,3,5,0.77,0.421
Icelandic,3,4,0.759,0.429
Icelandic,3,5,0.656,0.525
Indonesian,3,4,0.756,0.394
Indonesian,3,5,0.699,0.509
Italian,3,4,0.78,0.382
Italian,3,5,0.707,0.483
Japanese,3,4,0.675,0.47
Japanese,3,5,0.663,0.519
Kabyle,3,4,0.306,0.295
Kabyle,3,5,0.245,0.243
Kazakh,3,4,0.701,0.451
Kazakh,3,5,0.629,0.552
Komi-Zyrian,3,4,0.722,0.459
Komi-Zyrian,3,5,0.612,0.519
Korean,3,4,0.392,0.357
Korean,3,5,0.321,0.313
Kyrgyz,3,4,0.764,0.413
Kyrgyz,3,5,0.679,0.532
Latin,3,4,0.909,0.174
Latin,3,5,0.829,0.345
Latvian,3,4,0.681,0.437
Latvian,3,5,0.618,0.499
Malayalam,3,4,0.354,0.272
Malayalam,3,5,0.303,0.271
Navajo,3,4,0.471,0.432
Navajo,3,5,0.38,0.372
Norwegian,3,4,0.851,0.303
Norwegian,3,5,0.804,0.427
Ossetian,3,4,0.883,0.246
Ossetian,3,5,0.765,0.475
Persian,3,4,0.865,0.259
Persian,3,5,0.83,0.37
Polish,3,4,0.784,0.389
Polish,3,5,0.742,0.49
Portuguese,3,4,0.75,0.401
Portuguese,3,5,0.681,0.486
Punjabi,3,4,0.523,0.452
Punjabi,3,5,0.427,0.412
Quechua,3,4,0.536,0.443
Quechua,3,5,0.455,0.43
Romanian,3,4,0.852,0.303
Romanian,3,5,0.612,0.509
Russian,3,4,0.788,0.394
Russian,3,5,0.766,0.452
Serbian,3,4,0.704,0.405
Serbian,3,5,0.725,0.473
Sinhala,3,4,0.355,0.322
Sinhala,3,5,0.308,0.299
Slovak,3,4,0.816,0.34
Slovak,3,5,0.775,0.454
Spanish,3,4,0.819,0.331
Spanish,3,5,0.81,0.432
Slovenian,3,4,0.785,0.379
Slovenian,3,5,0.701,0.489
Swahili,3,4,0.773,0.445
Swahili,3,5,0.776,0.455
Swedish,3,4,0.839,0.312
Swedish,3,5,0.82,0.414
Tabasaran,3,4,0.7,0.487
Tabasaran,3,5,0.354,0.348
Tagalog,3,4,0.554,0.458
Tagalog,3,5,0.429,0.417
Tatar,3,4,0.695,0.491
Tatar,3,5,0.575,0.522
Thai,3,4,0.729,0.389
Thai,3,5,0.642,0.482
Turkish,3,4,0.874,0.265
Turkish,3,5,0.855,0.366
Tuvan,3,4,0.337,0.316
Tuvan,3,5,0.296,0.291
Udmurt,3,4,0.675,0.437
Udmurt,3,5,0.622,0.505
Ukrainian,3,4,0.747,0.408
Ukrainian,3,5,0.693,0.504
Uzbek,3,4,0.732,0.475
Uzbek,3,5,0.584,0.532
Vietnamese,3,4,0.722,0.401
Vietnamese,3,5,0.709,0.457
