language,n,d,left (d_Schw),max (d_Schw),min (d_Schw),right (d_Schw),left (d_BQY),right (d_BQY)
Amharic,1,5,5.2,5.58,5.2,5.58,7.0,8.0
Amharic,1,10,8.25,8.25,6.52,6.85,9.0,10.0
Amharic,1,15,10.06,10.3,10.06,10.3,13.0,14.0
Amharic,2,5,5.48,5.62,5.44,5.6,6.0,8.0
Amharic,2,10,6.84,7.17,5.88,6.95,9.0,10.0
Amharic,2,15,7.49,7.9,6.46,7.65,12.0,15.0
Amharic,3,15,8.12,8.12,7.06,8.1,12.0,15.0
Arabic,1,5,5.28,6.69,5.28,6.69,4.0,5.0
Arabic,1,10,7.34,8.18,7.65,8.18,8.0,9.0
Arabic,1,15,9.72,10.49,9.72,10.49,13.0,15.0
Arabic,2,5,5.45,5.91,5.42,5.87,5.0,6.0
Arabic,2,10,7.02,7.52,6.98,7.48,7.0,10.0
Arabic,2,15,7.94,8.41,7.66,8.32,11.0,15.0
Arabic,3,15,8.6,8.6,8.45,8.59,12.0,15.0
Atikamekw,1,5,1.74,4.09,1.74,4.09,3.0,3.0
Atikamekw,1,10,2.75,5.94,2.65,5.94,4.0,5.0
Atikamekw,1,15,4.08,6.86,4.08,6.86,7.0,7.0
Atikamekw,2,5,2.53,2.53,2.29,2.85,3.0,4.0
Atikamekw,2,10,3.17,3.17,2.77,3.39,5.0,6.0
Atikamekw,2,15,4.53,4.53,4.05,4.53,10.0,12.0
Atikamekw,3,15,3.3,4.23,3.3,4.23,13.0,14.0
Bamana (Bambara),1,5,4.72,5.52,4.72,5.52,5.0,7.0
Bamana (Bambara),1,10,6.98,8.73,7.29,8.73,8.0,10.0
Bamana (Bambara),1,15,8.41,10.26,8.41,10.26,11.0,15.0
Bamana (Bambara),2,5,4.85,5.09,4.83,5.03,5.0,6.0
Bamana (Bambara),2,10,6.64,6.64,6.57,6.62,7.0,10.0
Bamana (Bambara),2,15,8.1,8.1,7.77,8.03,14.0,15.0
Bamana (Bambara),3,15,8.03,8.22,8.21,8.27,11.0,15.0
Basque,1,5,5.05,6.28,5.05,6.28,4.0,5.0
Basque,1,10,6.18,7.93,6.18,7.93,8.0,9.0
Basque,1,15,8.44,8.86,8.44,8.86,11.0,13.0
Basque,2,5,5.2,5.24,4.89,5.24,6.0,7.0
Basque,2,10,5.94,6.41,5.8,6.2,9.0,10.0
Basque,2,15,6.36,7.03,6.15,6.98,12.0,15.0
Basque,3,15,5.08,6.57,6.53,6.57,12.0,15.0
Belarus,1,5,4.59,5.67,4.59,5.67,4.0,4.0
Belarus,1,10,7.45,8.55,7.45,8.55,6.0,7.0
Belarus,1,15,8.14,9.85,8.14,9.85,9.0,10.0
Belarus,2,5,4.78,5.17,5.0,5.14,5.0,5.0
Belarus,2,10,5.99,6.47,5.39,5.87,7.0,8.0
Belarus,2,15,7.17,7.79,5.14,6.27,12.0,15.0
Belarus,3,15,7.46,7.6,7.43,7.79,13.0,15.0
Bengali,1,5,5.01,5.48,5.01,5.48,4.0,5.0
Bengali,1,10,8.11,8.31,7.95,8.31,7.0,9.0
Bengali,1,15,9.8,9.8,8.67,8.67,8.0,10.0
Bengali,2,5,4.92,5.18,4.4,5.12,5.0,7.0
Bengali,2,10,6.97,7.38,5.72,6.57,9.0,10.0
Bengali,2,15,7.53,8.11,5.89,6.82,11.0,14.0
Bengali,3,15,7.6,8.25,6.61,7.47,13.0,15.0
Bulgarian,1,5,5.09,5.37,5.09,5.37,4.0,5.0
Bulgarian,1,10,8.54,8.66,8.54,8.66,10.0,10.0
Bulgarian,1,15,10.22,10.51,9.93,9.93,14.0,15.0
Bulgarian,2,5,5.33,5.64,4.44,4.48,6.0,7.0
Bulgarian,2,10,6.74,7.49,4.65,5.3,8.0,12.0
Bulgarian,2,15,7.83,8.42,5.45,5.56,13.0,15.0
Bulgarian,3,15,6.87,7.97,7.04,7.27,12.0,15.0
Chechen,1,5,5.84,6.65,5.84,6.65,5.0,7.0
Chechen,1,10,6.87,7.26,6.87,7.26,8.0,8.0
Chechen,1,15,6.57,8.71,6.57,8.71,9.0,9.0
Chechen,2,5,5.72,5.85,5.58,5.76,5.0,6.0
Chechen,2,10,5.77,5.9,5.63,5.8,7.0,7.0
Chechen,2,15,6.06,6.22,5.7,6.16,8.0,8.0
Chechen,3,15,6.14,6.37,5.67,6.27,6.0,8.0
Chinese,1,5,4.95,5.43,4.95,5.43,4.0,5.0
Chinese,1,10,8.27,8.73,8.27,8.73,7.0,9.0
Chinese,1,15,9.26,10.06,9.26,10.06,10.0,14.0
Chinese,2,5,5.37,5.77,5.25,5.75,5.0,6.0
Chinese,2,10,6.14,7.29,4.94,6.54,7.0,8.0
Chinese,2,15,8.06,9.22,5.85,9.18,8.0,8.0
Chinese,3,15,9.08,9.48,8.94,9.46,9.0,10.0
Coptic,1,5,6.08,6.08,5.36,6.02,4.0,6.0
Coptic,1,10,6.96,6.96,6.68,6.86,7.0,8.0
Coptic,1,15,7.6,7.6,7.38,7.51,9.0,10.0
Coptic,2,5,4.74,4.74,4.7,4.94,5.0,9.0
Coptic,2,10,5.3,5.3,5.17,5.84,13.0,13.0
Coptic,2,15,5.74,5.74,5.5,6.06,15.0,15.0
