Language,Family,Linguistic area,Subject side,Null subject / Pro-drop,Compounding (TCP),Nominal mapping,Wh-movement
Amharic,Afroasiatic,Ethiopian,SOV,CNSL,-TCP,FM,Wh-Movement
Arabic,Afroasiatic,Berber-Arabic,SVO,CNSL,-TCP,CM,Wh-Movement
Atikamekw,Algic,Central Algonquian,SOV,CNSL,+TCP,FM,Wh-in-situ
Bamana (Bambara),Niger-Congo,West African,SOV,NNSL,-TCP,FM,Wh-in-situ
Basque,Isolate,Isolate,SOV,CNSL,-TCP,FM,Wh-Movement
Belarus,Indo-European,Standard Average European,SVO,PNSL,-TCP,FM,Wh-Movement
Bengali,Indo-European,South Asian,SOV,CNSL,-TCP,MM,Wh-in-situ
Bulgarian,Indo-European,Balkan,SVO,CNSL,-TCP,CM,Wh-Movement
Chechen,Nakh-Daghestanian,Caucasian,SOV,CNSL,-TCP,FM,Wh-in-situ
Chinese,Sino-Tibetan,Mainland Southeast Asian,SVO,CNSL,+TCP,MM,Wh-in-situ
Coptic,Afroasiatic,Eastern Mediterranean,SVO,NNSL,-TCP,CM,Wh-Movement
Czech,Indo-European,Standard Average European,SVO,CNSL,-TCP,FM,Wh-Movement
Dholuo,Nilo-Saharan,Great Lakes African,SVO,CNSL,-TCP,FM,Wh-in-situ
Dutch,Indo-European,Standard Average European,SVO,PNSL,+TCP,CM,Wh-Movement
English,Indo-European,Standard Average European,SVO,NNSL,+TCP,CM,Wh-Movement
Esperanto,Artificial,Standard Average European,SVO,NNSL,+TCP,FM,Wh-Movement
Estonian,Uralic,Standard Average European,SVO,PNSL,+TCP,CM,Wh-in-situ
French,Indo-European,Standard Average European,SVO,NNSL,-TCP,CM,Wh-Movement
Finnish,Uralic,Standard Average European,SVO,PNSL,+TCP,FM,Wh-in-situ
German,Indo-European,Standard Average European,SVO,PNSL,+TCP,CM,Wh-Movement
Hindi,Indo-European,South Asian,SOV,CNSL,-TCP,FM,Wh-in-situ
Hungarian,Uralic,Standard Average European,SVO,CNSL,+TCP,CM,Wh-Movement
Icelandic,Indo-European,Standard Average European,SVO,CNSL,+TCP,CM,Wh-Movement
Indonesian,Austronesian,Mainland Southeast Asian,SVO,CNSL,-TCP,MM,Wh-Movement
Italian,Indo-European,Standard Average European,SVO,CNSL,-TCP,CM,Wh-Movement
Japanese,Japonic,Northeast Asian,SOV,CNSL,+TCP,FM,Wh-in-situ
Kabyle,Afroasiatic,North African,SVO,CNSL,-TCP,FM,Wh-in-situ
Kazakh,Altaic,Central Asian,SOV,CNSL,+TCP,FM,Wh-in-situ
Komi-Zyrian,Uralic,Volga-Kama,SVO,CNSL,-TCP,CM,Wh-Movement
Korean,Altaic,Northeast Asian,SOV,CNSL,+TCP,MM,Wh-in-situ
Kyrgyz,Altaic,Central Asian,SOV,CNSL,+TCP,FM,Wh-in-situ
Latin,Indo-European,Peninsula,SOV,CNSL,-TCP,FM,Wh-Movement
Latvian,Indo-European,Standard Average European,SVO,CNSL,-TCP,FM,Wh-Movement
Malayalam,Dravidian,South Asian,SOV,CNSL,+TCP,FM,Wh-in-situ
Navajo,Na-Dene,Mesoamerican,SOV,CNSL,+TCP,FM,Wh-in-situ
Norwegian,Indo-European,Standard Average European,SVO,NNSL,+TCP,MM,Wh-Movement
Ossetian,Indo-European,Caucasian,SOV,CNSL,-TCP,CM,Wh-Movement
Persian,Indo-European,Iranian-Araxes,SOV,CNSL,+TCP,MM,Wh-in-situ
Polish,Indo-European,Standard Average European,SVO,CNSL,-TCP,FM,Wh-Movement
Portuguese,Indo-European,Standard Average European,SVO,CNSL,-TCP,CM,Wh-Movement
Punjabi,Indo-European,South Asian,SOV,NNSL,+TCP,CM,Wh-in-situ
Quechua,Quechuan,Andean,SOV,CNSL,-TCP,FM,Wh-in-situ
Romanian,Indo-European,Balkan,SVO,CNSL,-TCP,FM,Wh-Movement
Russian,Indo-European,Standard Average European,SVO,CNSL,-TCP,FM,Wh-Movement
Serbian,Indo-European,Balkan,SVO,CNSL,-TCP,FM,Wh-Movement
Sinhala,Indo-European,South Asian,SOV,CNSL,-TCP,MM,Wh-in-situ
Slovak,Indo-European,Standard Average European,SVO,CNSL,-TCP,FM,Wh-Movement
Spanish,Indo-European,Standard Average European,SVO,CNSL,-TCP,CM,Wh-Movement
Slovenian,Indo-European,Balkan,SVO,CNSL,-TCP,FM,Wh-Movement
Swahili,Niger-Congo,Indian Ocean Coast,SVO,CNSL,-TCP,CM,Wh-Movement
Swedish,Indo-European,Standard Average European,SVO,NNSL,+TCP,MM,Wh-Movement
Tabasaran,Nakh-Daghestanian,Caucasian,SOV,CNSL,-TCP,MM,Wh-in-situ
Tagalog,Austronesian,Philippine,VSO,CNSL,-TCP,MM,Wh-in-situ
Tatar,Altaic,Volga-Kama,SOV,CNSL,-TCP,FM,Wh-in-situ
Thai,Kra–Dai,Mainland Southeast Asian,SVO,NNSL,+TCP,MM,Wh-in-situ
Turkish,Altaic,Iranian-Araxes,SOV,CNSL,+TCP,FM,Wh-in-situ
Tuvan,Altaic,Central Asian,SOV,CNSL,+TCP,FM,Wh-in-situ
Udmurt,Uralic,Volga-Kama,SOV,CNSL,-TCP,MM,Wh-in-situ
Ukrainian,Indo-European,Standard Average European,SVO,CNSL,-TCP,FM,Wh-Movement
Uzbek,Altaic,Central Asian,SOV,CNSL,-TCP,MM,Wh-in-situ
Vietnamese,Austroasiatic,Mainland Southeast Asian,SVO,CNSL,+TCP,MM,Wh-in-situ
