language,entropy 3-4,complexity 3-4,entropy 3-5,complexity 3-5
Amharic,0.875,0.268,0.385,0.376
Arabic,0.921,0.18,0.569,0.518
Atikamekw,0.358,0.337,0.588,0.532
Bamana (Bambara),0.667,0.483,0.566,0.51
Basque,0.681,0.484,0.749,0.531
Belarus,0.846,0.352,0.6,0.532
Bengali,0.592,0.399,0.508,0.428
Bulgarian,0.791,0.318,0.809,0.417
Chechen,0.539,0.42,0.456,0.41
Chinese,0.615,0.409,0.786,0.468
Coptic,0.766,0.409,0.6,0.534
Czech,0.786,0.346,0.747,0.424
Dholuo,0.852,0.311,0.857,0.363
Dutch,0.59,0.438,0.54,0.459
English,0.719,0.421,0.764,0.452
Esperanto,0.805,0.198,0.744,0.35
Estonian,0.793,0.388,0.76,0.484
French,0.915,0.178,0.815,0.43
Finnish,0.923,0.211,0.802,0.515
German,0.778,0.394,0.762,0.464
Hindi,0.668,0.458,0.603,0.538
Hungarian,0.478,0.385,0.77,0.421
Icelandic,0.759,0.429,0.656,0.525
Indonesian,0.756,0.394,0.699,0.509
Italian,0.78,0.382,0.707,0.483
Japanese,0.675,0.47,0.663,0.519
Kabyle,0.306,0.295,0.245,0.243
Kazakh,0.701,0.451,0.629,0.552
Komi-Zyrian,0.722,0.459,0.612,0.519
Korean,0.392,0.357,0.321,0.313
Kyrgyz,0.764,0.413,0.679,0.532
Latin,0.909,0.174,0.829,0.345
Latvian,0.681,0.437,0.618,0.499
Malayalam,0.354,0.272,0.303,0.271
Navajo,0.471,0.432,0.38,0.372
Norwegian,0.851,0.303,0.804,0.427
Ossetian,0.883,0.246,0.765,0.475
Persian,0.865,0.259,0.83,0.37
Polish,0.784,0.389,0.742,0.49
Portuguese,0.75,0.401,0.681,0.486
Punjabi,0.523,0.452,0.427,0.412
Quechua,0.536,0.443,0.455,0.43
Romanian,0.852,0.303,0.612,0.509
Russian,0.788,0.394,0.766,0.452
Serbian,0.704,0.405,0.725,0.473
Sinhala,0.355,0.322,0.308,0.299
Slovak,0.816,0.34,0.775,0.454
Spanish,0.819,0.331,0.81,0.432
Slovenian,0.785,0.379,0.701,0.489
Swahili,0.773,0.445,0.776,0.455
Swedish,0.839,0.312,0.82,0.414
Tabasaran,0.7,0.487,0.354,0.348
Tagalog,0.554,0.458,0.429,0.417
Tatar,0.695,0.491,0.575,0.522
Thai,0.729,0.389,0.642,0.482
Turkish,0.874,0.265,0.855,0.366
Tuvan,0.337,0.316,0.296,0.291
Udmurt,0.675,0.437,0.622,0.505
Ukrainian,0.747,0.408,0.693,0.504
Uzbek,0.732,0.475,0.584,0.532
Vietnamese,0.722,0.401,0.709,0.457
